,word,frequency,sentiment
12946,due,2304,neg
25893,long,841,neg
27476,mean,622,neg
7249,center,530,neg
3822,base,529,neg
25051,least,498,neg
18802,hard,482,neg
4958,black,474,neg
41007,small,433,neg
32243,other,405,neg
33047,past,402,neg
27779,mental,398,neg
40501,sick,384,neg
20788,ill,379,neg
15004,fail,379,neg
10944,dead,378,neg
16861,game,375,neg
18613,half,326,neg
49482,worst,289,neg
3420,bad,288,neg
4185,behind,284,neg
49563,wrong,244,neg
15039,fake,244,neg
24858,late,236,neg
47714,victim,231,neg
